frame,timestamp_iso,time_hms,raw_ax_g,raw_ay_g,raw_az_g,raw_gx_dps,raw_gy_dps,raw_gz_dps,raw_roll_deg,raw_pitch_deg,raw_yaw_deg,accel_lat_g,accel_lon_g,accel_vert_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pitch_deg,roll_deg,yaw_deg,mag_x,mag_y,mag_z,temp_c
0,2026-03-06T18:43:37.734000,18:43:37.734,1.33984,2.06719,-9.28799,-0.8545,4.7607,-6.4697,169.1,-5.2,171.3,1.33984,-2.06719,9.28799,-0.8545,-4.7607,-6.4697,-349.1,-5.2,171.3,-1644,1741,17990,26.07
1,2026-03-06T18:43:37.834000,18:43:37.834,1.62217,2.3543,-9.2832,-1.709,2.0142,-6.7139,168.6,-5.3,172.1,1.62217,-2.3543,9.2832,-1.709,-2.0142,-6.7139,-348.6,-5.3,172.1,-1571,1622,17782,26.07
2,2026-03-06T18:43:37.934000,18:43:37.934,1.41162,2.16289,-10.04404,-2.1973,0.2441,-6.6528,168.3,-5.6,172.8,1.41162,-2.16289,10.04404,-2.1973,-0.2441,-6.6528,-348.3,-5.6,172.8,-1582,1545,17784,26.19
3,2026-03-06T18:43:38.034000,18:43:38.034,1.15801,2.37822,-9.53682,2.2583,-2.6245,-6.0425,168.1,-5.6,173.5,1.15801,-2.37822,9.53682,2.2583,2.6245,-6.0425,-348.1,-5.6,173.5,-1611,1456,17772,26.19
4,2026-03-06T18:43:38.133000,18:43:38.133,1.03838,2.31123,-9.00088,-1.2207,0.4883,-5.8594,167.9,-5.4,174.0,1.03838,-2.31123,9.00088,-1.2207,-0.4883,-5.8594,-347.9,-5.4,174.0,-1549,1418,17802,25.94
5,2026-03-06T18:43:38.233000,18:43:38.233,1.04316,2.32559,-9.98184,-5.188,0.9766,-0.5493,167.7,-5.3,174.4,1.04316,-2.32559,9.98184,-5.188,-0.9766,-0.5493,-347.7,-5.3,174.4,-1500,1415,17801,26.32
6,2026-03-06T18:43:38.333000,18:43:38.333,1.69873,4.95264,-11.5418,-34.5459,-50.1099,6.958,167.3,-3.7,173.3,1.69873,-4.95264,11.5418,-34.5459,50.1099,6.958,-347.3,-3.7,173.3,-1355,1317,17755,26.19
7,2026-03-06T18:43:38.433000,18:43:38.433,1.17236,4.62725,-11.69492,-45.4102,-50.1709,-3.7842,160.1,0.5,171.1,1.17236,-4.62725,11.69492,-45.4102,50.1709,-3.7842,-340.1,0.5,171.1,-306,-136,17569,26.07
8,2026-03-06T18:43:38.533000,18:43:38.533,0.10049,2.80889,-7.91465,-118.042,19.165,-1.0376,149.2,1.4,171.4,0.10049,-2.80889,7.91465,-118.042,-19.165,-1.0376,-329.2,1.4,171.4,328,-2653,17003,25.94
9,2026-03-06T18:43:38.632000,18:43:38.632,-0.43545,4.18701,-7.00068,-98.0225,3.2349,-10.2539,141.1,1.2,172.6,-0.43545,-4.18701,7.00068,-98.0225,-3.2349,-10.2539,-321.1,1.2,172.6,-129,-5595,16138,26.26
10,2026-03-06T18:43:38.732000,18:43:38.732,-1.29678,5.42637,-5.81875,-62.0728,0.9766,-19.2871,135.1,1.9,174.0,-1.29678,-5.42637,5.81875,-62.0728,-0.9766,-19.2871,-315.1,1.9,174.0,-386,-8027,15166,26.19
11,2026-03-06T18:43:38.832000,18:43:38.832,-0.75605,6.32119,-4.92393,-45.8374,31.1279,-15.1367,129.9,2.2,175.8,-0.75605,-6.32119,4.92393,-45.8374,-31.1279,-15.1367,-309.9,2.2,175.8,-447,-9668,14189,26.19
12,2026-03-06T18:43:38.932000,18:43:38.932,-0.30146,7.71367,-6.55566,-8.5449,10.6812,3.9062,128.4,1.2,178.9,-0.30146,-7.71367,6.55566,-8.5449,-10.6812,3.9062,-308.4,1.2,178.9,-823,-10678,13440,26.19
13,2026-03-06T18:43:39.032000,18:43:39.032,-0.46416,7.66582,-6.30684,3.0518,12.7563,6.7139,128.0,0.9,179.2,-0.46416,-7.66582,6.30684,3.0518,-12.7563,6.7139,-308.0,0.9,179.2,-1082,-10984,13242,26.07
14,2026-03-06T18:43:39.131000,18:43:39.131,0.66035,7.44092,-6.52217,16.4185,5.5542,6.0425,129.2,-0.2,179.7,0.66035,-7.44092,6.52217,16.4185,-5.5542,6.0425,-309.2,-0.2,179.7,-1466,-10872,13303,26.19
15,2026-03-06T18:43:39.231000,18:43:39.231,-0.06699,8.03906,-6.92412,-1.5869,2.7466,6.6528,129.9,-0.7,179.7,-0.06699,-8.03906,6.92412,-1.5869,-2.7466,6.6528,-309.9,-0.7,179.7,-1649,-10543,13564,26.19
16,2026-03-06T18:43:39.331000,18:43:39.331,-0.20576,7.929,-5.7709,-13.3667,7.4463,0.6714,129.6,-2.0,-179.9,-0.20576,-7.929,5.7709,-13.3667,-7.4463,0.6714,-309.6,-2.0,-179.9,-1899,-10406,13619,26.13
17,2026-03-06T18:43:39.431000,18:43:39.431,0.33018,7.4457,-5.61777,0.6714,3.1738,-7.3853,128.8,-1.4,-179.4,0.33018,-7.4457,5.61777,0.6714,-3.1738,-7.3853,-308.8,-1.4,-179.4,-2027,-10603,13431,26.07
18,2026-03-06T18:43:39.531000,18:43:39.531,1.03838,7.39307,-6.54131,17.9443,-1.709,-3.9062,129.5,-0.8,-179.1,1.03838,-7.39307,6.54131,17.9443,1.709,-3.9062,-309.5,-0.8,-179.1,-1880,-10656,13436,26.13
19,2026-03-06T18:43:39.631000,18:43:39.631,-0.24883,6.81406,-6.43604,3.6621,3.6011,1.4038,130.4,-1.7,-178.7,-0.24883,-6.81406,6.43604,3.6621,-3.6011,1.4038,-310.4,-1.7,-178.7,-1916,-10489,13589,26.19
20,2026-03-06T18:43:39.730000,18:43:39.730,-0.09092,6.84277,-6.69443,10.3149,3.479,-4.5166,131.4,-2.1,-178.1,-0.09092,-6.84277,6.69443,10.3149,-3.479,-4.5166,-311.4,-2.1,-178.1,-2069,-10362,13750,26.13
21,2026-03-06T18:43:39.830000,18:43:39.830,0.58857,7.11074,-6.79492,11.4746,-8.9722,-10.6201,132.6,-0.8,-177.9,0.58857,-7.11074,6.79492,11.4746,8.9722,-10.6201,-312.6,-0.8,-177.9,-1916,-10090,13937,26.13
22,2026-03-06T18:43:39.930000,18:43:39.930,0.0335,7.43135,-6.70879,-3.1738,-2.2583,1.3428,131.9,-0.8,-177.5,0.0335,-7.43135,6.70879,-3.1738,2.2583,1.3428,-311.9,-0.8,-177.5,-1677,-10011,14008,26.19
23,2026-03-06T18:43:40.030000,18:43:40.030,0.38281,7.59883,-5.87617,-11.5356,-0.3662,-5.4932,131.2,-0.5,-177.4,0.38281,-7.59883,5.87617,-11.5356,0.3662,-5.4932,-311.2,-0.5,-177.4,-1611,-10124,13964,26.26
24,2026-03-06T18:43:40.130000,18:43:40.130,0.01436,7.57969,-6.38818,2.8076,6.6528,1.4648,131.4,-0.3,-177.1,0.01436,-7.57969,6.38818,2.8076,-6.6528,1.4648,-311.4,-0.3,-177.1,-1485,-10219,13890,26.07
25,2026-03-06T18:43:40.229000,18:43:40.229,-0.24883,7.32129,-5.97666,12.3291,6.0425,0.1831,132.0,-1.0,-176.8,-0.24883,-7.32129,5.97666,12.3291,-6.0425,0.1831,-312.0,-1.0,-176.8,-1606,-10151,13918,26.19
26,2026-03-06T18:43:40.329000,18:43:40.329,0.10049,7.13945,-6.88105,19.9585,0.7324,-4.8828,132.7,-0.2,-176.7,0.10049,-7.13945,6.88105,19.9585,-0.7324,-4.8828,-312.7,-0.2,-176.7,-1538,-10002,14094,26.26
27,2026-03-06T18:43:40.429000,18:43:40.429,-0.0957,6.88105,-6.5748,0.1831,1.6479,2.5024,133.5,-0.6,-176.3,-0.0957,-6.88105,6.5748,0.1831,-1.6479,2.5024,-313.5,-0.6,-176.3,-1459,-9698,14299,26.13
28,2026-03-06T18:43:40.529000,18:43:40.529,-0.62686,5.479,-5.45986,65.4907,-5.7983,4.0283,135.8,-0.5,-176.8,-0.62686,-5.479,5.45986,65.4907,5.7983,4.0283,-315.8,-0.5,-176.8,-1463,-9472,14458,26.26
29,2026-03-06T18:43:40.629000,18:43:40.629,-0.34453,4.27314,-5.91445,129.9438,-22.2168,9.5825,144.8,0.1,-177.6,-0.34453,-4.27314,5.91445,129.9438,22.2168,9.5825,-324.8,0.1,-177.6,-1287,-7839,15511,26.19
30,2026-03-06T18:43:40.728000,18:43:40.728,0.15313,4.41191,-9.80957,98.2666,-16.4185,13.0615,156.1,0.5,-179.4,0.15313,-4.41191,9.80957,98.2666,16.4185,13.0615,-336.1,0.5,-179.4,-818,-4650,16941,26.0
31,2026-03-06T18:43:40.828000,18:43:40.828,0.65078,3.74199,-11.08721,31.0059,35.3394,7.5684,162.8,-0.2,179.3,0.65078,-3.74199,11.08721,31.0059,-35.3394,7.5684,-342.8,-0.2,179.3,-306,-1841,17782,26.07
